Number of clusters: 
10

#### CLUSTER 1 ####
Items in cluster: 1048
Items with predefined genre: 810
adventure : 256 (31.604938271604937 %)
simulation : 71 (8.765432098765432 %)
arcade : 90 (11.11111111111111 %)
action : 415 (51.23456790123457 %)
shooter : 61 (7.530864197530865 %)
indie : 123 (15.185185185185185 %)
puzzle : 29 (3.580246913580247 %)
platformer : 85 (10.493827160493826 %)
fighting : 63 (7.777777777777778 %)
role-playing-games-rpg : 254 (31.35802469135803 %)
strategy : 59 (7.28395061728395 %)
casual : 51 (6.296296296296296 %)
family : 14 (1.728395061728395 %)
massively-multiplayer : 15 (1.8518518518518516 %)
racing : 16 (1.9753086419753085 %)
card : 3 (0.3703703703703704 %)
sports : 6 (0.7407407407407408 %)
board-games : 3 (0.3703703703703704 %)
educational : 4 (0.49382716049382713 %)
Items with country: 664
US : 337 (50.75301204819277 %)
CA : 47 (7.078313253012049 %)
JP : 355 (53.463855421686745 %)
RU : 5 (0.7530120481927711 %)
GB : 67 (10.090361445783133 %)
DE : 18 (2.710843373493976 %)
VN : 3 (0.4518072289156626 %)
CL : 6 (0.9036144578313252 %)
BR : 5 (0.7530120481927711 %)
ES : 7 (1.0542168674698795 %)
BY : 3 (0.4518072289156626 %)
BG : 3 (0.4518072289156626 %)
MX : 5 (0.7530120481927711 %)
UA : 3 (0.4518072289156626 %)
TH : 3 (0.4518072289156626 %)
RO : 3 (0.4518072289156626 %)
IT : 6 (0.9036144578313252 %)
HU : 3 (0.4518072289156626 %)
IN : 6 (0.9036144578313252 %)
AU : 7 (1.0542168674698795 %)
AR : 4 (0.6024096385542169 %)
CN : 26 (3.91566265060241 %)
ZA : 3 (0.4518072289156626 %)
MY : 3 (0.4518072289156626 %)
SG : 19 (2.86144578313253 %)
PH : 3 (0.4518072289156626 %)
TW : 4 (0.6024096385542169 %)
KR : 8 (1.2048192771084338 %)
DK : 5 (0.7530120481927711 %)
FR : 15 (2.2590361445783134 %)
CO : 4 (0.6024096385542169 %)
ID : 3 (0.4518072289156626 %)
AE : 3 (0.4518072289156626 %)
PL : 5 (0.7530120481927711 %)
NO : 1 (0.15060240963855423 %)
NZ : 1 (0.15060240963855423 %)
FI : 3 (0.4518072289156626 %)
SE : 12 (1.8072289156626504 %)
AT : 2 (0.30120481927710846 %)
NL : 3 (0.4518072289156626 %)
TR : 2 (0.30120481927710846 %)
BE : 1 (0.15060240963855423 %)
IE : 1 (0.15060240963855423 %)
shows 

#### CLUSTER 2 ####
Items in cluster: 1798
Items with predefined genre: 1154
arcade : 196 (16.984402079722706 %)
action : 539 (46.70710571923743 %)
simulation : 72 (6.239168110918544 %)
educational : 14 (1.2131715771230502 %)
indie : 267 (23.1369150779896 %)
