Number of clusters: 
53

#### CLUSTER 1 ####
Items in cluster: 179
Items with predefined genre: 118
adventure : 32 (27.11864406779661 %)
simulation : 52 (44.06779661016949 %)
action : 20 (16.94915254237288 %)
indie : 28 (23.728813559322035 %)
role-playing-games-rpg : 43 (36.440677966101696 %)
casual : 24 (20.33898305084746 %)
family : 3 (2.5423728813559325 %)
strategy : 12 (10.16949152542373 %)
arcade : 5 (4.23728813559322 %)
puzzle : 7 (5.932203389830509 %)
board-games : 1 (0.847457627118644 %)
massively-multiplayer : 1 (0.847457627118644 %)
platformer : 1 (0.847457627118644 %)
educational : 1 (0.847457627118644 %)
Items with country: 75
NL : 1 (1.3333333333333335 %)
MX : 1 (1.3333333333333335 %)
CA : 1 (1.3333333333333335 %)
DE : 2 (2.666666666666667 %)
JP : 43 (57.333333333333336 %)
US : 27 (36.0 %)
RU : 1 (1.3333333333333335 %)
ID : 1 (1.3333333333333335 %)
GB : 6 (8.0 %)
PL : 1 (1.3333333333333335 %)
CN : 1 (1.3333333333333335 %)
KR : 1 (1.3333333333333335 %)
FR : 1 (1.3333333333333335 %)
NZ : 1 (1.3333333333333335 %)
shows 

#### CLUSTER 2 ####
Items in cluster: 474
Items with predefined genre: 314
simulation : 56 (17.8343949044586 %)
indie : 118 (37.57961783439491 %)
adventure : 147 (46.81528662420382 %)
action : 83 (26.43312101910828 %)
platformer : 29 (9.235668789808917 %)
puzzle : 48 (15.286624203821656 %)
sports : 8 (2.547770700636943 %)
casual : 46 (14.64968152866242 %)
arcade : 41 (13.05732484076433 %)
strategy : 41 (13.05732484076433 %)
shooter : 7 (2.229299363057325 %)
educational : 14 (4.45859872611465 %)
role-playing-games-rpg : 46 (14.64968152866242 %)
family : 9 (2.8662420382165608 %)
massively-multiplayer : 7 (2.229299363057325 %)
racing : 6 (1.910828025477707 %)
fighting : 1 (0.3184713375796179 %)
board-games : 1 (0.3184713375796179 %)
card : 1 (0.3184713375796179 %)
Items with country: 160
PL : 3 (1.875 %)
US : 71 (44.375 %)
JP : 21 (13.125 %)
FR : 12 (7.5 %)
IN : 1 (0.625 %)
RU : 3 (1.875 %)
CN : 1 (0.625 %)
KR : 1 (0.625 %)
GB : 20 (12.5 %)
SE : 7 (4.375 %)
AU : 6 (3.75 %)
DE : 5 (3.125 %)
CA : 19 (11.875 %)
ES : 4 (2.5 %)
MX : 1 (0.625 %)
FI : 5 (3.125 %)
HR : 1 (0.625 %)
CZ : 2 (1.25 %)
NL : 2 (1.25 %)
IT : 2 (1.25 %)
DK : 1 (0.625 %)
BY : 1 (0.625 %)
LT : 1 (0.625 %)
LV : 1 (0.625 %)
shows 

#### CLUSTER 3 ####
Items in cluster: 281
Items with predefined genre: 226
role-playing-games-rpg : 51 (22.566371681415927 %)
simulation : 27 (11.946902654867257 %)
indie : 110 (48.67256637168141 %)
adventure : 181 (80.08849557522124 %)
casual : 30 (13.274336283185843 %)
action : 53 (23.451327433628318 %)
strategy : 7 (3.0973451327433628 %)
educational : 3 (1.3274336283185841 %)
puzzle : 36 (15.929203539823009 %)
family : 4 (1.7699115044247788 %)
platformer : 5 (2.2123893805309733 %)
arcade : 2 (0.8849557522123894 %)
card : 1 (0.4424778761061947 %)
shooter : 1 (0.4424778761061947 %)
sports : 1 (0.4424778761061947 %)
Items with country: 123
CA : 8 (6.504065040650407 %)
FR : 10 (8.130081300813007 %)
DK : 2 (1.6260162601626018 %)
US : 41 (33.33333333333333 %)
GB : 19 (15.447154471544716 %)
ZA : 1 (0.8130081300813009 %)
SE : 6 (4.878048780487805 %)
JP : 10 (8.130081300813007 %)
LT : 1 (0.8130081300813009 %)
DE : 12 (9.75609756097561 %)
FI : 1 (0.8130081300813009 %)
AU : 2 (1.6260162601626018 %)
IT : 1 (0.8130081300813009 %)
NO : 3 (2.4390243902439024 %)
AT : 1 (0.8130081300813009 %)
UA : 6 (4.878048780487805 %)
IE : 6 (4.878048780487805 %)
TR : 1 (0.8130081300813009 %)
TW : 2 (1.6260162601626018 %)
ES : 5 (4.0650406504065035 %)
PL : 3 (2.4390243902439024 %)
RU : 1 (0.8130081300813009 %)
BE : 1 (0.8130081300813009 %)
MY : 2 (1.6260162601626018 %)
shows 

#### CLUSTER 4 ####
Items in cluster: 218
Items with predefined genre: 153
platformer : 59 (38.56209150326798 %)
action : 67 (43.790849673202615 %)
role-playing-games-rpg : 8 (5.228758169934641 %)
adventure : 36 (23.52941176470588 %)
arcade : 28 (18.30065359477124 %)
shooter : 7 (4.57516339869281 %)
casual : 15 (9.803921568627452 %)
simulation : 3 (1.9607843137254901 %)
racing : 14 (9.15032679738562 %)
indie : 10 (6.535947712418301 %)
puzzle : 13 (8.49673202614379 %)
strategy : 8 (5.228758169934641 %)
fighting : 3 (1.9607843137254901 %)
family : 1 (0.6535947712418301 %)
sports : 4 (2.6143790849673203 %)
Items with country: 166
JP : 126 (75.90361445783132 %)
US : 58 (34.93975903614458 %)
SE : 2 (1.2048192771084338 %)
GB : 22 (13.253012048192772 %)
ES : 3 (1.8072289156626504 %)
CN : 8 (4.819277108433735 %)
CA : 3 (1.8072289156626504 %)
SG : 7 (4.216867469879518 %)
VN : 1 (0.6024096385542169 %)
CL : 1 (0.6024096385542169 %)
BR : 1 (0.6024096385542169 %)
BY : 1 (0.6024096385542169 %)
BG : 1 (0.6024096385542169 %)
MX : 1 (0.6024096385542169 %)
UA : 1 (0.6024096385542169 %)
TH : 1 (0.6024096385542169 %)
RO : 1 (0.6024096385542169 %)
IT : 1 (0.6024096385542169 %)
HU : 1 (0.6024096385542169 %)
DE : 2 (1.2048192771084338 %)
RU : 1 (0.6024096385542169 %)
IN : 1 (0.6024096385542169 %)
AU : 1 (0.6024096385542169 %)
AR : 1 (0.6024096385542169 %)
ZA : 1 (0.6024096385542169 %)
MY : 1 (0.6024096385542169 %)
PH : 1 (0.6024096385542169 %)
TW : 1 (0.6024096385542169 %)
KR : 1 (0.6024096385542169 %)
DK : 1 (0.6024096385542169 %)
FR : 3 (1.8072289156626504 %)
CO : 1 (0.6024096385542169 %)
ID : 1 (0.6024096385542169 %)
AE : 1 (0.6024096385542169 %)
FI : 1 (0.6024096385542169 %)
NZ : 1 (0.6024096385542169 %)
NL : 1 (0.6024096385542169 %)
shows 

#### CLUSTER 5 ####
Items in cluster: 101
Items with predefined genre: 79
adventure : 61 (77.21518987341773 %)
indie : 41 (51.89873417721519 %)
casual : 9 (11.39240506329114 %)
action : 18 (22.78481012658228 %)
role-playing-games-rpg : 7 (8.860759493670885 %)
simulation : 8 (10.126582278481013 %)
puzzle : 16 (20.253164556962027 %)
arcade : 7 (8.860759493670885 %)
platformer : 2 (2.5316455696202533 %)
racing : 1 (1.2658227848101267 %)
strategy : 7 (8.860759493670885 %)
shooter : 1 (1.2658227848101267 %)
family : 1 (1.2658227848101267 %)
board-games : 1 (1.2658227848101267 %)
Items with country: 54
TW : 1 (1.8518518518518516 %)
DE : 4 (7.4074074074074066 %)
RU : 2 (3.7037037037037033 %)
ES : 3 (5.555555555555555 %)
PL : 3 (5.555555555555555 %)
US : 23 (42.592592592592595 %)
FR : 1 (1.8518518518518516 %)
GB : 8 (14.814814814814813 %)
ZA : 1 (1.8518518518518516 %)
CZ : 1 (1.8518518518518516 %)
HR : 1 (1.8518518518518516 %)
JP : 1 (1.8518518518518516 %)
GR : 1 (1.8518518518518516 %)
CA : 4 (7.4074074074074066 %)
CL : 1 (1.8518518518518516 %)
BE : 1 (1.8518518518518516 %)
AU : 1 (1.8518518518518516 %)
NL : 1 (1.8518518518518516 %)
SE : 1 (1.8518518518518516 %)
shows 

#### CLUSTER 6 ####
Items in cluster: 237
Items with predefined genre: 171
role-playing-games-rpg : 137 (80.11695906432749 %)
action : 46 (26.900584795321635 %)
adventure : 37 (21.637426900584796 %)
indie : 27 (15.789473684210526 %)
simulation : 6 (3.508771929824561 %)
strategy : 23 (13.450292397660817 %)
arcade : 1 (0.5847953216374269 %)
fighting : 2 (1.1695906432748537 %)
card : 1 (0.5847953216374269 %)
massively-multiplayer : 6 (3.508771929824561 %)
puzzle : 2 (1.1695906432748537 %)
casual : 3 (1.7543859649122806 %)
Items with country: 130
JP : 90 (69.23076923076923 %)
US : 41 (31.538461538461537 %)
RU : 2 (1.5384615384615385 %)
GB : 4 (3.076923076923077 %)
DE : 4 (3.076923076923077 %)
FR : 4 (3.076923076923077 %)
AU : 1 (0.7692307692307693 %)
TR : 1 (0.7692307692307693 %)
DK : 1 (0.7692307692307693 %)
SE : 2 (1.5384615384615385 %)
AT : 2 (1.5384615384615385 %)
PL : 2 (1.5384615384615385 %)
CN : 5 (3.8461538461538463 %)
KR : 2 (1.5384615384615385 %)
SG : 3 (2.307692307692308 %)
CA : 1 (0.7692307692307693 %)
NL : 1 (0.7692307692307693 %)
shows 

#### CLUSTER 7 ####
Items in cluster: 706
Items with predefined genre: 381
adventure : 57 (14.960629921259844 %)
action : 159 (41.732283464566926 %)
role-playing-games-rpg : 17 (4.4619422572178475 %)
arcade : 98 (25.72178477690289 %)
casual : 61 (16.010498687664043 %)
indie : 99 (25.984251968503933 %)
strategy : 50 (13.123359580052494 %)
puzzle : 50 (13.123359580052494 %)
shooter : 28 (7.349081364829396 %)
sports : 17 (4.4619422572178475 %)
simulation : 40 (10.498687664041995 %)
card : 1 (0.26246719160104987 %)
educational : 6 (1.574803149606299 %)
racing : 29 (7.611548556430446 %)
platformer : 24 (6.299212598425196 %)
fighting : 3 (0.7874015748031495 %)
board-games : 5 (1.3123359580052494 %)
family : 6 (1.574803149606299 %)
massively-multiplayer : 4 (1.0498687664041995 %)
Items with country: 207
JP : 54 (26.08695652173913 %)
CA : 11 (5.314009661835748 %)
DK : 1 (0.4830917874396135 %)
DE : 8 (3.864734299516908 %)
US : 110 (53.14009661835749 %)
AU : 5 (2.4154589371980677 %)
RU : 2 (0.966183574879227 %)
GB : 29 (14.009661835748794 %)
FR : 26 (12.560386473429952 %)
AT : 2 (0.966183574879227 %)
ES : 3 (1.4492753623188406 %)
CN : 7 (3.3816425120772946 %)
SG : 8 (3.864734299516908 %)
IT : 2 (0.966183574879227 %)
FI : 2 (0.966183574879227 %)
NZ : 4 (1.932367149758454 %)
NL : 2 (0.966183574879227 %)
AR : 1 (0.4830917874396135 %)
SE : 4 (1.932367149758454 %)
CZ : 1 (0.4830917874396135 %)
TH : 1 (0.4830917874396135 %)
SK : 1 (0.4830917874396135 %)
HU : 3 (1.4492753623188406 %)
BG : 1 (0.4830917874396135 %)
